epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,2621.23,1.34881,1.08922,1.21848,0.69975,0.43921,0.50083,0.29648,1.92761,1.92323,1.71544,0.00100137,0.00100137,0.00100137
123,2643.33,1.33531,1.07951,1.23493,0.6255,0.45563,0.47492,0.2736,1.8768,2.03193,1.66442,0.000995866,0.000995866,0.000995866
124,2663.74,1.29779,1.03654,1.19108,0.61859,0.44372,0.45651,0.25569,1.95032,1.97456,1.73144,0.000990365,0.000990365,0.000990365
125,2684.29,1.31023,1.05127,1.21868,0.69137,0.45617,0.482,0.2844,1.90906,1.89525,1.66723,0.000984864,0.000984864,0.000984864
126,2704.69,1.33038,1.08324,1.21987,0.57521,0.43712,0.45904,0.26371,1.92405,1.97995,1.68603,0.000979362,0.000979362,0.000979362
127,2725.16,1.29057,1.02864,1.19411,0.71996,0.43463,0.49336,0.2901,1.86942,1.88508,1.66058,0.000973861,0.000973861,0.000973861
128,2745.53,1.28317,1.01548,1.18824,0.73162,0.41378,0.48694,0.29073,1.92971,2.07562,1.69605,0.00096836,0.00096836,0.00096836
129,2766.03,1.27663,1.06053,1.19247,0.58422,0.46743,0.47952,0.30459,1.82712,1.9153,1.63573,0.000962859,0.000962859,0.000962859
130,2788.04,1.28595,1.02485,1.18705,0.60219,0.48304,0.5091,0.30325,1.88923,1.83673,1.69923,0.000957358,0.000957358,0.000957358
131,2808.51,1.27935,1.00896,1.17436,0.69622,0.42677,0.49096,0.2791,1.86792,1.87322,1.66355,0.000951857,0.000951857,0.000951857
132,2828.95,1.27886,0.99327,1.19183,0.69597,0.45671,0.49715,0.29504,1.85599,1.98351,1.67455,0.000946356,0.000946356,0.000946356
133,2849.43,1.28853,1.0087,1.19652,0.65934,0.48649,0.51389,0.31349,1.80508,1.9017,1.63729,0.000940855,0.000940855,0.000940855
134,2871.48,1.32709,1.0709,1.21025,0.68378,0.49818,0.52504,0.31175,1.81387,1.87109,1.65258,0.000935354,0.000935354,0.000935354
135,2891.99,1.27487,0.99763,1.18328,0.66139,0.47619,0.51234,0.32398,1.81832,1.83052,1.61885,0.000929853,0.000929853,0.000929853
136,2914.15,1.32205,1.07985,1.23371,0.70941,0.47275,0.50658,0.31086,1.84767,1.89713,1.68778,0.000924352,0.000924352,0.000924352
137,2934.63,1.25217,0.99547,1.19557,0.82044,0.41295,0.5071,0.29651,1.89567,1.96304,1.65753,0.00091885,0.00091885,0.00091885
138,2955.12,1.23452,0.96139,1.16216,0.70905,0.51351,0.52662,0.33713,1.84603,1.77305,1.66676,0.000913349,0.000913349,0.000913349
139,2977.27,1.25199,0.98271,1.17987,0.70306,0.50901,0.54082,0.33526,1.84997,1.82996,1.67756,0.000907848,0.000907848,0.000907848
140,2997.68,1.23489,0.94751,1.15222,0.7558,0.49926,0.53783,0.34984,1.76805,1.76818,1.62336,0.000902347,0.000902347,0.000902347
