epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,3708.49,2.02025,2.34278,1.78293,0.29583,0.24044,0.18339,0.05034,2.48421,2.86339,2.01084,0.00113339,0.00113339,0.00113339
99,3747.4,1.99735,2.31868,1.75982,0.27996,0.25433,0.176,0.06217,2.46763,2.64278,1.97925,0.00112789,0.00112789,0.00112789
100,3788.57,1.97747,2.31987,1.74002,0.27636,0.24078,0.15993,0.05122,2.47051,2.66506,1.96774,0.00112239,0.00112239,0.00112239
101,3825.95,1.9917,2.34007,1.79005,0.28775,0.23252,0.17845,0.0563,2.53372,2.6225,2.01675,0.00111689,0.00111689,0.00111689
102,3863.09,1.99252,2.34746,1.77647,0.28869,0.2316,0.16164,0.05131,2.49931,2.61449,2.01373,0.00111139,0.00111139,0.00111139
103,3901.23,1.97044,2.26665,1.76458,0.26374,0.23918,0.1645,0.05677,2.41859,2.63575,1.96355,0.00110589,0.00110589,0.00110589
104,3941.63,1.99822,2.31874,1.76253,0.22496,0.19895,0.12932,0.04502,2.45328,2.63238,1.95822,0.00110039,0.00110039,0.00110039
105,3980.14,1.99901,2.2828,1.78182,0.28102,0.23901,0.17653,0.0557,2.51138,2.73456,2.03132,0.00109489,0.00109489,0.00109489
106,4018.12,1.95797,2.29502,1.78618,0.34422,0.24459,0.19743,0.06392,2.54703,2.54233,2.02646,0.00108938,0.00108938,0.00108938
107,4059.83,1.96957,2.2396,1.75476,0.26557,0.24008,0.1735,0.06432,2.44573,2.68668,1.98954,0.00108388,0.00108388,0.00108388
108,4103.01,1.9784,2.26232,1.75263,0.32057,0.24369,0.17666,0.06292,2.50421,2.61817,1.99554,0.00107838,0.00107838,0.00107838
109,4141.81,1.96287,2.23837,1.76382,0.35992,0.25703,0.194,0.05989,2.53265,2.59037,2.02023,0.00107288,0.00107288,0.00107288
110,4180.99,1.95673,2.21844,1.72662,0.30206,0.239,0.19851,0.07037,2.39922,2.67365,1.94973,0.00106738,0.00106738,0.00106738
111,4223.34,1.92589,2.21379,1.71787,0.23878,0.24603,0.18419,0.063,2.46477,2.75381,1.99683,0.00106188,0.00106188,0.00106188
112,4262.09,1.94236,2.18192,1.71985,0.31142,0.29399,0.21298,0.07725,2.46726,2.54793,2.02193,0.00105638,0.00105638,0.00105638
113,4307.31,1.94303,2.16517,1.73165,0.31138,0.26641,0.1986,0.06624,2.4528,2.60137,1.97723,0.00105088,0.00105088,0.00105088
114,4351.08,1.91383,2.12292,1.71387,0.29988,0.26497,0.21518,0.0709,2.48781,2.67289,1.97631,0.00104538,0.00104538,0.00104538
115,4392.51,1.9347,2.16601,1.72117,0.32417,0.25703,0.19689,0.06434,2.48807,2.64542,2.00253,0.00103987,0.00103987,0.00103987
116,4434.55,1.96713,2.19584,1.75148,0.32681,0.24657,0.19302,0.06794,2.40585,2.66273,1.96058,0.00103437,0.00103437,0.00103437
117,4475.74,1.93966,2.1524,1.71738,0.30144,0.26749,0.19673,0.06692,2.39331,2.53051,1.95837,0.00102887,0.00102887,0.00102887
118,4516.95,1.87813,2.15307,1.71333,0.31006,0.26443,0.21083,0.07437,2.40639,2.48404,1.97073,0.00102337,0.00102337,0.00102337
119,4558.75,1.92597,2.09305,1.72384,0.27757,0.28973,0.21054,0.07803,2.39033,2.57626,1.93993,0.00101787,0.00101787,0.00101787
120,4604.04,1.91199,2.13662,1.72521,0.26119,0.25423,0.21891,0.07827,2.43883,2.51751,1.92538,0.00101237,0.00101237,0.00101237
121,4649.77,1.93338,2.12888,1.73315,0.38392,0.28157,0.24326,0.09417,2.37463,2.55418,1.91552,0.00100687,0.00100687,0.00100687
122,4694.85,1.91292,2.11441,1.71438,0.3373,0.28245,0.23541,0.09162,2.35425,2.52301,1.90837,0.00100137,0.00100137,0.00100137
123,4734.82,1.9116,2.10208,1.70943,0.33145,0.26894,0.24541,0.08899,2.46419,2.51025,1.9837,0.000995866,0.000995866,0.000995866
124,4774.64,1.90144,2.10976,1.71571,0.32664,0.22998,0.22307,0.08767,2.37524,2.51663,1.93136,0.000990365,0.000990365,0.000990365
125,4814.41,1.92506,2.11544,1.7036,0.32234,0.25812,0.22339,0.0772,2.3905,2.57131,1.91675,0.000984864,0.000984864,0.000984864
126,4855.64,1.87726,2.07262,1.69379,0.36675,0.31223,0.22422,0.08873,2.40674,2.48676,1.95991,0.000979362,0.000979362,0.000979362
127,4895.99,1.91575,2.09644,1.73198,0.34377,0.29221,0.23885,0.0791,2.50298,2.45404,2.02057,0.000973861,0.000973861,0.000973861
128,4936.23,1.89335,2.0831,1.71222,0.38746,0.30574,0.24596,0.0931,2.41011,2.44489,1.93515,0.00096836,0.00096836,0.00096836
129,4976.16,1.88616,2.07549,1.68937,0.34498,0.29245,0.21931,0.08725,2.34633,2.48896,1.8957,0.000962859,0.000962859,0.000962859
130,5016.42,1.90803,2.08903,1.71319,0.32961,0.27345,0.21994,0.07843,2.42603,2.42522,1.96938,0.000957358,0.000957358,0.000957358
131,5055.9,1.87173,2.04968,1.68629,0.37796,0.29041,0.2528,0.09967,2.38043,2.45187,1.94513,0.000951857,0.000951857,0.000951857
132,5099.9,1.9016,2.0568,1.68788,0.45853,0.2895,0.26982,0.10244,2.39499,2.51814,1.92811,0.000946356,0.000946356,0.000946356
133,5143.4,1.85373,2.05992,1.70159,0.41421,0.28932,0.26902,0.09235,2.43571,2.5279,1.96795,0.000940855,0.000940855,0.000940855
134,5186.2,1.86302,2.01314,1.68087,0.34774,0.32468,0.26837,0.09464,2.37968,2.37907,1.92008,0.000935354,0.000935354,0.000935354
135,5226.93,1.83449,1.96115,1.67246,0.37023,0.29135,0.27443,0.10771,2.39539,2.54895,1.9542,0.000929853,0.000929853,0.000929853
136,5269.6,1.85778,1.97125,1.661,0.33173,0.31151,0.26597,0.10146,2.40502,2.49835,1.96557,0.000924352,0.000924352,0.000924352
137,5310.52,1.85337,2.01925,1.67952,0.34366,0.30988,0.27345,0.1069,2.32231,2.37869,1.87873,0.00091885,0.00091885,0.00091885
138,5353.75,1.85016,2.01699,1.66987,0.32837,0.33712,0.25841,0.09439,2.35397,2.37929,1.90123,0.000913349,0.000913349,0.000913349
139,5392.78,1.83591,1.97863,1.64734,0.35689,0.31872,0.29116,0.11062,2.38635,2.38148,1.93522,0.000907848,0.000907848,0.000907848
140,5434.03,1.8137,1.96059,1.65235,0.38771,0.31638,0.28609,0.0968,2.41071,2.36094,1.95623,0.000902347,0.000902347,0.000902347
141,5472.27,1.83363,1.95003,1.65808,0.40883,0.31277,0.29887,0.11331,2.32249,2.4357,1.91217,0.000896846,0.000896846,0.000896846
142,5513.37,1.84429,1.95919,1.64577,0.37344,0.31277,0.26712,0.10943,2.32278,2.39868,1.89216,0.000891345,0.000891345,0.000891345
143,5551.39,1.79867,1.90961,1.63608,0.39902,0.38745,0.29826,0.11638,2.32245,2.2838,1.89915,0.000885844,0.000885844,0.000885844
144,5592.55,1.81626,1.90411,1.63318,0.34809,0.29814,0.24309,0.09207,2.34814,2.51604,1.91801,0.000880343,0.000880343,0.000880343
145,5630.32,1.78951,1.89527,1.63924,0.30943,0.36897,0.27224,0.10237,2.32118,2.43912,1.88559,0.000874842,0.000874842,0.000874842
146,5672.07,1.79371,1.86736,1.61782,0.38972,0.33676,0.30184,0.10238,2.41372,2.43788,1.96272,0.00086934,0.00086934,0.00086934
147,5713.68,1.81335,1.83373,1.60867,0.37891,0.3097,0.30598,0.10652,2.37904,2.39663,1.90701,0.000863839,0.000863839,0.000863839
148,5755.43,1.75703,1.82013,1.5906,0.43756,0.36706,0.32131,0.11892,2.36236,2.33928,1.90033,0.000858338,0.000858338,0.000858338
149,5800.94,1.80365,1.84484,1.6076,0.39452,0.32882,0.3015,0.11397,2.35538,2.46842,1.91864,0.000852837,0.000852837,0.000852837
150,5842.86,1.77325,1.82913,1.62777,0.45825,0.32017,0.33422,0.11073,2.39634,2.41998,1.94277,0.000847336,0.000847336,0.000847336
151,5884.73,1.79671,1.91085,1.64514,0.40217,0.39755,0.31463,0.11277,2.33419,2.32575,1.88714,0.000841835,0.000841835,0.000841835
152,5926.25,1.79622,1.8669,1.60824,0.42498,0.35859,0.33919,0.13298,2.34112,2.35458,1.88072,0.000836334,0.000836334,0.000836334
153,5971.45,1.7886,1.79988,1.6162,0.40105,0.35034,0.29467,0.12211,2.32369,2.33685,1.87209,0.000830833,0.000830833,0.000830833
154,6013.91,1.76682,1.8245,1.60633,0.47134,0.3088,0.32082,0.12028,2.37049,2.33264,1.91608,0.000825332,0.000825332,0.000825332
155,6055.7,1.75812,1.79125,1.61062,0.47372,0.32377,0.29646,0.1033,2.40349,2.45218,1.92903,0.000819831,0.000819831,0.000819831
156,6095.74,1.75778,1.80689,1.61885,0.43423,0.32094,0.30338,0.11591,2.3494,2.38982,1.88918,0.000814329,0.000814329,0.000814329
157,6137.22,1.71268,1.7598,1.57456,0.44204,0.33568,0.31985,0.12722,2.33465,2.31427,1.8895,0.000808828,0.000808828,0.000808828
158,6176.97,1.73707,1.74215,1.58644,0.39398,0.37192,0.32793,0.12571,2.32599,2.37275,1.89052,0.000803327,0.000803327,0.000803327
159,6219.53,1.74963,1.72318,1.58839,0.47715,0.35381,0.35235,0.14055,2.33524,2.21365,1.87183,0.000797826,0.000797826,0.000797826
160,6262.53,1.7607,1.79788,1.61594,0.40454,0.32787,0.30296,0.11081,2.33132,2.4209,1.91522,0.000792325,0.000792325,0.000792325
161,6303.53,1.72756,1.72651,1.58019,0.40366,0.36255,0.30776,0.10542,2.38674,2.33529,1.91641,0.000786824,0.000786824,0.000786824
162,6342.21,1.71971,1.74993,1.5855,0.43858,0.33622,0.3147,0.12355,2.34284,2.26258,1.90032,0.000781323,0.000781323,0.000781323
163,6381.94,1.74023,1.71721,1.58902,0.47248,0.35011,0.3296,0.1286,2.27114,2.29058,1.84506,0.000775822,0.000775822,0.000775822
164,6421.05,1.68472,1.70881,1.56328,0.44363,0.34109,0.30489,0.1159,2.37358,2.43281,1.92338,0.000770321,0.000770321,0.000770321
165,6459.37,1.72908,1.72087,1.58733,0.45761,0.34614,0.34892,0.14085,2.26371,2.3409,1.84912,0.00076482,0.00076482,0.00076482
166,6501.05,1.74156,1.77454,1.5943,0.50262,0.34524,0.31602,0.12985,2.30933,2.29044,1.87491,0.000759318,0.000759318,0.000759318
167,6539.18,1.73617,1.75406,1.5941,0.45207,0.36147,0.35767,0.13598,2.29673,2.31257,1.85366,0.000753817,0.000753817,0.000753817
